disaster,month,year,status,disaster_type,affected_country,description,reference
Haiti: Floods ,Apr,2015.0,Past Disaster,Flash Flood1 more,Haiti,"Heavy rainfall over the weekend of 4-5 Apr 2015 affected almost 9,000 families in Haiti: 8,413 families in the West department (89 per cent in Cité Soleil and 8 per cent in Tabarre) and 449 families in Grande Anse. Six people died in flooding in Port-au-Prince, including five children. A total of 8,770 houses were flooded (85 per cent in Cité Soleil) and 62 destroyed (46 in Delmas and 16 in Grande Anse). 245 families evacuated spontaneously (mainly in Delmas and Tabarre). The main reasons for the damage caused are the lack of cleaning of drainage canals and unplanned construction in the ravines. Distribution of food and non-food items for the affected families and cleaning of the drainage system and ravines are the most urgent actions to be undertaken. The Civil Protection Department  is mobilizing existing contingency stocks of partners (mainly NGOs and UN) and coordinating the response with the help of OCHA. No official request for additional assistance has been made so far by the Haitian government. (ECHO, 8 Apr 2015)",https://reliefweb.int/disaster/fl-2015-000037-hti
Paraguay: Floods ,Apr,2015.0,Past Disaster,Flood,Paraguay,"On 4 Apr 2015, a severe storm hit several towns in the department of Concepción in northern Paraguay, affecting houses, crops and farm animals. Authorities estimate that 5,000 people were affected and have begun the response by providing roofing material, food and medical attention. OCHA is processing an application for emergency funds to support the authorities in the response. (OCHA, 13 Apr 2015) As per request from the Paraguayan Government, USAID channeled $50,000 through ADRA to support the response (Govt, 15 Apr 2015).In May 2015, heavy rains caused the overflowing of several rivers and affected communities in Asuncion and central departments. According to weather experts, the amount of rain was not atypical, although the intensity and volume in such a short time was. More than 3,000 families were affected in the districts of Ypané, Villeta, Ypacaraí, Luque, Mariano Roque Alonso, Villa Hayes, Capiatá, Limpio and Yaguarón. (OCHA, 11 May 2015)In June 2015, the National Emergency Agency (SEN) reported that around 9,602 families (about 48,000 people) were affected by the flooding of the Paraguay river. In Asuncion, about 6,000 families received assistance from the SEN, which coordinates actions with the Asuncion Municipal Council of Emergencies and Disasters. (PAHO, 16 Jun 2015)Early July, the number of affected families was above 32,000, more than 23,000 of which had received assistance. The departments most hit by the floods were Alto Paraguay, Boquerón, Presidente Hayes, Concepción, San Pedro, Cordillera, Central, Guairá, Caazapá, Misiones and Ñeembucú. (Government of Paraguay, 6 Jul 2015)
By end of July 2015, nearly 35,000 people had been affected by flooding after heavy rains this week and had to stay in shelters. A total of 6,987 families from Asuncion were in shelters. (PAHO, 24 Jul 2015)During the last week of August, heavy rains, strong winds and hail left more than 900 houses affected in the departments of Paraguarí, San Pedro, Cordillera and Central. (Gov't of Paraguay, 28 Aug 2015)",https://reliefweb.int/disaster/st-2015-000041-pry
Burundi: Landslides and Floods ,Mar,2015.0,Past Disaster,Flood1 more,Burundi,"On 29 Mar 2015, heavy rains caused floods and landslides in Muhuta, a commune of Bujumbura Rural Province, in Western Burundi on the edge of Lake Tanganyika, destroying 349 houses, a health center and two schools. The displaced population found refuge in the houses of their relatives and neighbors, which put the limited resources of the hosting population under high pressure. The areas where they used to live, as well as the common areas, are entirely covered by stones and mud. The affected population belong to very poor villages from one of the most vulnerable area of the cholera belt. Two bridges were also destroyed together with 5 km of the national road number 5 between Bujumbura and Rumonge. Heavy rocks, weighing up to 2 tonnes each, are currently blocking the roads and therefore preventing all commercial activities for the affected population. (IFRC, 7 Apr 2015)",https://reliefweb.int/disaster/ls-2015-000031-bdi
Chile: Floods ,Mar,2015.0,Past Disaster,Flash Flood2 more,Chile,"Heavy rainfall and consequent river overflow, flash floods and landslides affected the Atacama and Antofagasta regions in the north of Chile over 24-25 Mar 2015. (ECHO, 27 Mar 2015) The Government asked the United Nations system to support the coordination of the emergency response and delivery of humanitarian aid. (UN Country Team, 27 Mar 2015) As of 12 Apr, the death toll stood at 26, and almost 165,000 people were affected with more than 1,500 people in 20 emergency shelters. More than 8,300 houses were either destroyed or severely damaged. (OCHA, 14 Apr 2015).
Seasonal floodings are affecting the north and the south of the country in July (PAHO, 8 Jul 2015).Early August, heavy rainfall and strong winds affected most of Chile, from the northern Arica and Parinacota to the southern Los Rios Region, causing floods, landslides and damage. As of 10 August, official reports mentioned six people killed, three of whom in the town of Tocopilla in Antofagasta, over 980 people homeless, with more than 24 000 without electricity throughout the affected regions. (ECHO, 11 Aug 2015)At the end of August, a yellow alert was declared in the Los Rios region due to increasing river levels. (Gov't of Chile, 28 Aug 2015)Early September IOM Chile was ending its emergency assistance to the victims of the floods that hit the northern of the country in late March. (IOM, 4 Sep 2015)",https://reliefweb.int/disaster/fl-2015-000027-chl
Argentina: Floods ,Mar,2015.0,Past Disaster,Flood,Argentina,"More than 4,400 people were evacuated in the provinces of Cordoba, Santa Fe, San Luis, Catamarca and Santiago del Estero) due to floods triggered by heavy rains. The most affected district was Cordoba, where 1,200 people had to leave their homes. (OCHA, 9 Mar 2015) On 9 Mar, authorities declared a State of Emergency throughout Tucumán, as 300 families had been evacuated and another 7,000 were awaiting orders for evacuation in the southern part of the province (ECHO, 10 Mar 2015).",https://reliefweb.int/disaster/fl-2015-000024-arg
Tropical Cyclone Pam ,Mar,2015.0,Past Disaster,Flood2 more,Vanuatu5 more,"Severe Tropical Cyclone Pam struckVanuatuas an extremely destructive category 5 cyclone on the evening of 13 Mar 2015, causing serious damage to infrastructure and leaving debris strewn across the capital. (OCHA, 15 Mar 2015)The archipelago, consisting of more than 80 islands with a population of approximately 270,000 people, suffered widespread damage across all of its six provinces – Torba, Sanma, Penama, Malampa, Shefa, and Tafea. Tropical Cyclone Pam’s eye passed close to Efate Island in Shefa Province, where the capital Port Vila is located, with winds at around 250 km/hr and gusts peaking at 320 km/hr. A total of 166,600 people were estimated to have been affected by the cyclone – more than half the country’s population. Shefa and Tafea were the hardest hit provinces. In Erromango Island, up to 90 per cent of shelters were wiped out, whilst in Tanna Island 50 per cent of shelters were destroyed. Food stocks were also destroyed and water sources destroyed or contaminated. Estimates were that 95 per cent of crops were destroyed in the affected areas, leaving communities food insecure. (UNDAC, 4 Apr 2015)The Prime Minister of Vanuatu and the UN Humanitarian Coordinator for Vanuatu launched a humanitarian responseFlash Appealon 24 March...The Flash Appeal seeks US$29.9 million to ensure that initial support provided by the Government, donors and humanitarian partners can be sustained to cover the needs of affected people until 24 June 2015. (OCHA, 24 Mar 2015)",https://reliefweb.int/disaster/tc-2015-000020-vut
Papua New Guinea: Floods ,Mar,2015.0,Past Disaster,Flood,PNG,"Heavy rainfall on 3 Mar 2015 caused river overflows in Papua New Guinea's provinces of Western Highlands, Central Highlands, Southern Highlands and Jiwaka. As of 4 Mar, local authorities and local media report six people killed in the village of Polga in Jiwaka province, while a number of houses were destroyed throughout the affected area. In total, about 100,000 people were affected by the rainfall and floods. (OCHA, 9 Mar 2015) On 17 Mar, the Government approved disaster relief funding for six provinces (West New Britain, Jiwaka, Southern Highlands, Bougainville, Oro and Gulf) that had sustained extensive damage during recent extreme weather. In making the announcement, the Prime Minister said millions of people across Papua New Guinea had been affected and a number of lives lost due to extreme weather. ""The extent of the damage in many areas of Papua New Guinea has never been seen before,"" he said. (Govt, 17 Mar 2015) According to the IFRC, up to 20,000 people have been affected by flooding in West New Britain, and Papua New Guinea Red Cross Society has held meetings with the National Disaster Coordinator to agree on a plan of action for response (IFRC, 18 Mar 2015).",https://reliefweb.int/disaster/fl-2015-000018-png
Tanzania: Hail Storms ,Mar,2015.0,Past Disaster,Flash Flood2 more,Tanzania,"On 3 Mar 2015, hail storms accompanied by strong winds and heavy rainfall hit the villages of Mwakata, Magung’unhwa and Nhumbi in Msalala district, in Tanzania's northwestern Shinyanga region, killing 47 people. According to the Tanzania Red Cross Society, up to 5,000 people have been affected, including 3,500 people who were displaced after the storms damaged or destroyed 634 houses. The regional authorities ordered temporary closure of two primary schools in order to provide temporary accommodation to over 500 people, with others hosted by relatives and friends. (IFRC, 10 Mar 2015)Since early April 2015, pre-election tension and violence in neighbouring Burundi has caused thousands of refugees to cross into Tanzania seeking protection and assistance. On 20 May 2015, the IFRC launched an Emergency Appeal to support the TRCS respond to needs of the affected population, and is involving the National Society at all levels. This Operations Update is requesting an extension of the operation timeframe by an additional 2 weeks; in order to complete the ODK training, and conduct a beneficiary satisfaction survey. It is intended that this will help to alleviate the pressures on the TRCS during this busy period, and enable a better outcome from the mission. The DREF operation will therefore be completed by 14 July 2015, and a final report will be made available by 14 October 2015 (3 months after the end of the operation). (IFRC, 16 June 2015)",https://reliefweb.int/disaster/st-2015-000019-tza
"Afghanistan: Avalanches, Floods and Landslides ",Feb,2015.0,Past Disaster,Cold Wave4 more,Afghanistan,"As 5 Apr 2015, an estimated 8,827 families had been affected by floods, rain, heavy snow and avalanches in 137 districts in 24 provinces since 1 Feb. A total of 291 people were killed and 96 people were injured. 1,454 houses were completely destroyed and 7,119 houses were damaged. (OCHA, 5 Apr 2015)On 28 Apr, a landslide buried the remote village of Jerow-Bala in the Khwahan district of Badakhshan province, killing 52 people, mostly women and children, and leaving 237 families without shelter. (OCHA, 30 Apr 2015)",https://reliefweb.int/disaster/av-2015-000016-afg
South-Eastern Europe: Floods ,Feb,2015.0,Past Disaster,Flood,Albania3 more,"Heavy rainfall starting at the beginning of February 2015 caused major flooding in the southern and south-eastern parts of Albania. Some 42,000 people were affected, and houses were damaged, around 3,500 heads of livestock killed, and 17,000 acres of farm land flooded. The Albanian
Government declared a state of emergency for the worst affected areas. (IFRC, 6 Feb 2015) Bulgaria and Greece were hit by flooding as well.In The former Yugoslav Republic of Macedonia heavy rains and snow melt caused severe flooding the eastern region of the country. According to national authorities, 170,000 people were affected. (ECHO, 6 Feb 2015)All planned activities have been successfully implemented. The foreseen items were procured and distributed according to the plan. The stock reserves used for the operation were replenished. The supported population was really satisfied with the efforts of the Red Cross Society of the Former Yugoslav Republic of Macedonia for covering their immediate needs. The additional financial
contributions raised in the country helped the population to compensate for some of the damage and to use the money for repairing of the houses and for cleaning the fields. The DREF operation was finalized within the envisaged timeframe. (IFRC Final Report, 4 Sep 2015)",https://reliefweb.int/disaster/fl-2015-000009-alb
